symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
PENGU/USDT,S3,2025-07-17 11:00,LONG,bull,bull,TRENDING,0.031646,0.029688,0.036509,0.042647,2.0,-1.0,54.7,-11.0,17.43,7.24,1.0,70.3,0.898,6,0.75,37.5,19152.1961,sl,0.029688,stop_loss,5,-37.5
ONDO/USDT,S5,2025-07-18 04:00,LONG,range,n/a,TRENDING,1.0671,0.977391,1.246518,1.425936,2.0,-1.0,73.1,,14.04,3.49,,,,0,1.5,75.0,836.0365,sl,0.977391,stop_loss,145,-75.0
LUNC/USDT,S5,2025-07-18 16:00,LONG,range,n/a,TRANSITIONAL,6.9e-05,6.4e-05,7.8e-05,8.7e-05,2.1,-1.0,73.9,,6.17,2.39,,,,0,0.5,25.0,5000000.0,sl,6.4e-05,stop_loss,120,-25.0
BCH/USDT,S5,2025-07-25 20:00,LONG,range,n/a,TRENDING,540.9,522.266111,578.167778,615.435556,2.0,2.73,58.3,,7.65,3.04,,,,0,1.5,75.0,4.0249,tp1+trail,591.732223,trail_stop,51,177.3
AAVE/USDT,S5,2025-08-01 08:00,SHORT,range,n/a,TRANSITIONAL,258.25,266.502114,241.745772,225.241544,2.0,-1.0,24.8,,11.95,2.84,,,,0,1.5,75.0,9.0886,sl,266.502114,stop_loss,78,-75.0
CHZ/USDT,S5,2025-08-01 08:00,SHORT,range,n/a,TRANSITIONAL,0.03799,0.039517,0.034936,0.031882,2.0,-1.0,30.4,,8.46,2.88,,,,0,1.5,75.0,49115.9136,sl,0.039517,stop_loss,80,-75.0
DOGE/USDT,S5,2025-08-02 00:00,SHORT,range,n/a,TRENDING,0.20097,0.216252,0.170406,0.139842,2.0,-1.0,28.5,,11.57,3.73,,,,0,1.5,75.0,4907.7346,sl,0.216252,stop_loss,139,-75.0
CHZ/USDT,S5,2025-08-09 20:00,LONG,range,n/a,TRANSITIONAL,0.04359,0.041647,0.047476,0.051362,2.0,-1.0,74.2,,11.83,1.76,,,,0,0.25,7.5,3860.0103,sl,0.041647,stop_loss,39,-7.5
PENGU/USDT,S5,2025-08-11 04:00,LONG,range,n/a,TRENDING,0.041313,0.037233,0.049473,0.057633,2.0,-1.0,68.1,,12.63,4.0,,,,0,1.5,45.0,11029.4118,sl,0.037233,stop_loss,14,-45.0
AAVE/USDT,S5,2025-08-13 00:00,LONG,range,n/a,RANGING,322.26,307.478809,351.822382,381.384764,2.0,-1.0,71.4,,6.84,2.57,,,,0,0.5,15.0,1.0148,sl,307.478809,stop_loss,36,-15.0
