symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
TAO/USDT,S5,2026-03-16 12:00,LONG,range,n/a,TRENDING,293.6,263.902367,352.995266,412.390532,2.0,-1.0,75.4,,30.25,4.56,,,,0,1.5,45.0,1.5153,sl,263.902367,stop_loss,50,-45.0
ENA/USDT,S5,2026-03-16 16:00,LONG,range,n/a,TRANSITIONAL,0.1171,0.113782,0.123736,0.130372,2.0,-1.0,68.8,,9.21,2.42,,,,0,0.5,15.0,4520.7957,sl,0.113782,stop_loss,42,-15.0
TON/USDT,S5,2026-03-23 20:00,LONG,range,n/a,TRANSITIONAL,1.305,1.279828,1.355344,1.405688,2.0,-1.0,64.4,,4.25,1.71,,,,0,0.25,7.5,297.9501,sl,1.279828,stop_loss,69,-7.5
TAO/USDT,S5,2026-03-24 20:00,LONG,range,n/a,TRENDING,327.4,292.100772,397.998456,468.596912,2.0,-0.48,70.7,,16.18,4.64,,,,0,1.5,45.0,1.2748,timeout,310.4,timeout,240,-21.67
FET/USDT,S5,2026-03-25 12:00,LONG,range,n/a,TRENDING,0.2603,0.238774,0.303352,0.346404,2.0,-1.0,74.0,,23.02,4.55,,,,0,1.5,45.0,2090.4952,sl,0.238774,stop_loss,21,-45.0
ETH/USDT,S5,2026-03-28 12:00,SHORT,range,n/a,RANGING,1997.64,2027.667804,1937.584392,1877.528784,2.0,-1.0,32.7,,10.18,1.72,,,,0,0.25,7.5,0.2498,sl,2027.667804,stop_loss,1,-7.5
SOL/USDT,S5,2026-03-28 12:00,SHORT,range,n/a,RANGING,82.94,84.828784,79.162432,75.384864,2.0,0.73,33.3,,12.03,1.93,,,,0,0.25,7.5,3.9708,tp1+trail,81.558782,trail_stop,35,10.24
INJ/USDT,S5,2026-03-28 12:00,SHORT,range,n/a,TRANSITIONAL,2.865,2.94165,2.7117,2.5584,2.0,-1.0,36.4,,8.04,1.79,,,,0,0.25,7.5,97.8474,sl,2.94165,stop_loss,44,-7.5
TRUMP/USDT,S5,2026-03-28 12:00,SHORT,range,n/a,TRENDING,2.976,3.072034,2.783932,2.591864,2.0,-1.0,30.2,,12.53,2.09,,,,0,0.5,15.0,156.1947,sl,3.072034,stop_loss,68,-15.0
WLD/USDT,S3,2026-03-30 13:00,SHORT,bear,bear,TRENDING,0.2785,0.288554,0.2433,0.221796,2.49,3.49,46.6,-3.6,5.93,3.25,3.0,82.3,-0.377,0,1.5,45.0,4475.8305,tp1+trail,0.243454,trail_stop,153,157.21
NEAR/USDT,S3,2026-03-30 15:00,SHORT,bear,bear,TRENDING,1.18,1.202632,1.075724,0.971448,2.0,-1.0,43.5,-2.6,3.45,2.05,2.0,53.8,-0.691,2,0.5,15.0,662.7784,sl,1.202632,stop_loss,10,-15.0
ME/USDT,S3,2026-03-30 18:00,SHORT,bear,bear,TRENDING,0.099,0.100524,0.091706,0.084712,2.0,-1.0,43.3,-7.4,3.53,1.82,3.0,77.8,-0.555,1,0.25,7.5,4921.2598,sl,0.100524,stop_loss,31,-7.5
